formattedAddress,location,rating,displayName,latitude,longitude,address
"277 E Kingsbridge Rd, Bronx, NY 10458, USA","{'latitude': 40.8635296, 'longitude': -73.8939839}",2.9,"{'text': 'Happy Garden', 'languageCode': 'en'}",40.863458975908,-73.893751846779,2556 Briggs Avenue
"140-09 Cherry Ave, Flushing, NY 11355, USA","{'latitude': 40.7542117, 'longitude': -73.8226194}",3.9,"{'text': 'Golden Palace Gourmet', 'languageCode': 'en'}",40.754042198686,-73.822558355122,140-11 Cherry Avenue
"44-05 Kissena Blvd, Flushing, NY 11355, USA","{'latitude': 40.7538687, 'longitude': -73.82243319999999}",3.8,"{'text': 'Amazing Asia', 'languageCode': 'en'}",40.754042198686,-73.822558355122,140-11 Cherry Avenue
"2367 Frederick Douglass Blvd, New York, NY 10027, USA","{'latitude': 40.8116845, 'longitude': -73.950395}",4.0,"{'text': 'Harlem Bar-B-Q', 'languageCode': 'en'}",40.811558735208,-73.95045057209,302 West 127 Street
"2361 Frederick Douglass Blvd, New York, NY 10027, USA","{'latitude': 40.8113788, 'longitude': -73.950594}",5.0,"{'text': 'Pizza Express', 'languageCode': 'en'}",40.811558735208,-73.95045057209,302 West 127 Street
"Frederick Douglass Blvd, W 127th St, New York, NY 10027, USA","{'latitude': 40.811454700000006, 'longitude': -73.9502279}",4.2,"{'text': 'Arnie & Ebony Catering LLC', 'languageCode': 'en'}",40.811558735208,-73.95045057209,302 West 127 Street
"201 Wyckoff Ave, Brooklyn, NY 11237, USA","{'latitude': 40.702554899999996, 'longitude': -73.9160757}",4.1,"{'text': 'Akaru Sushi', 'languageCode': 'en'}",40.70241818603,-73.91622250095,162 Wyckoff Avenue
"164 Wyckoff Ave, Brooklyn, NY 11237, USA","{'latitude': 40.702284, 'longitude': -73.916225}",4.3,"{'text': 'Calibella Bakery & Piqueteadero', 'languageCode': 'en'}",40.70241818603,-73.91622250095,162 Wyckoff Avenue
"3102 Villa Ave, Bronx, NY 10468, USA","{'latitude': 40.8744672, 'longitude': -73.8876428}",3.9,"{'text': 'Nyc.exoticsnax', 'languageCode': 'en'}",40.874698387616,-73.887709605337,3114 Villa Avenue
"3102 Villa Ave, Bronx, NY 10468, USA","{'latitude': 40.8744672, 'longitude': -73.8876428}",4.4,"{'text': 'Mr.exotiX', 'languageCode': 'en'}",40.874698387616,-73.887709605337,3114 Villa Avenue
