job_id,inspection_date,inspection_type,house_number,street_name,zip_code,borough,result,letter_type,observations,bbl,boro_code,block,lot,latitude,longitude,location,community_board,council_district,census_tract,bin,nta,x_coord,y_coord
PC8719887,2026-08-31T10:15:32.000,Treatments,281,MARCUS GARVEY BLVD,11221,Brooklyn,Bait applied,,,3016290001,3,1629,1,40.687918213743,-73.939015048838,"{'latitude': '40.687918213743', 'longitude': '-73.939015048838', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,277,3325012,Bedford-Stuyvesant (East),,
PC8710861,2026-08-31T10:17:27.000,Treatments,330,EAST 91 STREET,10128,Manhattan,Bait applied,,,1015530035,1,1553,35,40.78068496195,-73.948563497293,"{'latitude': '40.78068496195', 'longitude': '-73.948563497293', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,5,15401,1078662,Upper East Side-Yorkville,998495,223708
PC8769147,2026-08-31T10:18:32.000,Initial,775,CROTONA PARK NORTH,10460,Bronx,Failed for Other Reason,COTA,Harborage,2029527501,2,2952,7501,40.84072783076,-73.89161259046,"{'latitude': '40.84072783076', 'longitude': '-73.89161259046', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6,15,367,2128766,Tremont,,
PC8766439,2026-08-31T10:18:51.000,Initial,1805,PHELAN PLACE,10453,Bronx,Failed for Other Reason,COTA,Harborage,2028790139,2,2879,139,40.852403258403,-73.917189581898,"{'latitude': '40.852403258403', 'longitude': '-73.917189581898', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5,14,24501,2009100,University Heights (South)-Morris Heights,1007159,249844
PC8594629,2026-08-31T10:19:02.000,Compliance,2112,BROADWAY,10023,Manhattan,Failed for Rat Activity,Summons Issued,Burrows,1011657505,1,1165,7505,40.78005822339,-73.981570416568,"{'latitude': '40.78005822339', 'longitude': '-73.981570416568', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",7,6,159,1030545,Upper West Side-Lincoln Square,,
PC8759829,2026-08-31T10:19:52.000,Compliance,426,EASTERN PARKWAY,11225,Brooklyn,Failed for Rat Activity,Summons Issued,Burrows,3012670016,3,1267,16,40.670056856262,-73.954351989233,"{'latitude': '40.670056856262', 'longitude': '-73.954351989233', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,35,323,3032889,Crown Heights (South),996913,183402
PC8762369,2026-08-31T10:21:19.000,Compliance,461,CLASSON AVENUE,11238,Brooklyn,Failed for Rat Activity,Summons Issued,Burrows,3019850006,3,1985,6,40.684874985277,-73.959198601056,"{'latitude': '40.684874985277', 'longitude': '-73.959198601056', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,229,3056957,Bedford-Stuyvesant (West),,
PC8731580,2026-08-31T10:21:41.000,Treatments,316,EAST 166 STREET,10456,Bronx,Bait applied,,,2024330022,2,2433,22,40.830023195193,-73.914164105878,"{'latitude': '40.830023195193', 'longitude': '-73.914164105878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4,16,175,2116218,Concourse-Concourse Village,,
PC8705306,2026-08-31T10:23:00.000,Treatments,1374,PACIFIC STREET,11216,Brooklyn,Bait applied,,,3012080036,3,1208,36,40.677384086208,-73.945077903497,"{'latitude': '40.677384086208', 'longitude': '-73.945077903497', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,36,313,3030109,Crown Heights (North),999484,186073
PC8757845,2026-08-31T10:23:06.000,Compliance,540,WILLOUGHBY AVENUE,11206,Brooklyn,Failed for Other Reason,,Harborage,3017670018,3,1767,18,40.694018685626,-73.94778317371,"{'latitude': '40.694018685626', 'longitude': '-73.94778317371', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",3,36,261,3049116,Bedford-Stuyvesant (West),,
